tau,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
71,-88.30141369,-10.60127662,-18.25968705,-5.108607799,-75.25583422,4.522466024,-5.873526076,0.900998875,-73.83323855,51.90130432
72,-66.38414482,-22.86003597,-17.16905191,-3.351817114,-65.96434714,18.62236672,-5.837272253,17.0615528,-63.62349979,46.88018219
73,-50.33353868,9.940824684,-7.031079805,-1.353270541,-57.94033515,31.5687153,-14.76428382,-3.748771249,-55.36553566,51.34863355
74,-47.68145157,-0.386862079,7.60848425,-9.24355449,-60.25968529,11.15495286,-19.3577639,-21.69693874,-28.91687987,36.23965707
75,-50.70160074,15.67618385,27.34457638,-35.27838367,-46.9619112,-26.55462465,-35.17933459,-25.54150619,-26.70687612,7.867612416
76,-50.0230272,2.153473725,36.03935495,-34.18874259,-46.8353476,-29.86638878,-44.77832778,-28.54505048,-23.00244409,-5.499649266
77,-54.38234276,16.82184036,19.25203504,-35.33967207,-27.05416501,-29.51521837,-44.57733681,-30.72252729,-17.42680624,-9.013374097
78,-77.00366465,30.27079076,26.04479227,-30.9710456,-22.84711561,-40.50080584,-47.64959038,-44.08623663,-10.59580449,5.449254955
79,-64.34275258,42.96793708,13.74503241,-31.48701292,-16.02638074,-53.89496122,-76.31940948,-28.53215013,-20.88102151,13.41192351
80,-80.85936401,25.78246197,14.85649479,-43.81767812,-27.00621986,-30.13208576,-85.47221864,-20.34923388,-13.01081255,21.78808517
81,-88.41205956,16.00397806,34.7460229,-19.66423564,12.26791892,-47.29600992,-56.01202828,-18.31391548,3.006240558,37.55585931
82,-79.2940496,17.60054561,20.27641551,-15.15006236,-39.47203975,-24.36018929,-58.50197884,-49.38447046,1.06248973,34.38695716
83,-66.81838743,14.83465215,25.49653575,-33.98712243,-7.835115002,-18.91876459,-54.77670434,-37.7057127,-12.96761302,15.56711183
84,-46.82644859,7.223505136,21.93862547,-27.22778209,-27.69937742,-20.01162133,-79.59202594,-54.18447925,-25.60312246,24.29650022
85,-37.71086976,9.558092371,-9.267244408,-20.74310004,-23.9882068,-20.51503116,-64.63398777,-40.12081483,-29.39669647,20.57050394
86,-39.85977771,24.97007084,-4.676697446,-40.5203452,-39.19944184,-29.64855716,-86.32676633,-42.32660428,-24.09417527,1.010697135
87,-30.28892108,47.02808364,-12.1777025,-49.46061847,-32.87957122,-44.36582515,-84.06475404,-50.60470467,-46.38571998,20.73987896
88,-7.939664018,35.239933,-11.60774521,-35.7727827,-38.15151671,-44.81575781,-63.12079828,-57.84155589,-42.10746677,17.71750937
89,1.222786821,24.00734397,-4.618022235,-47.05180165,-19.11201681,-25.45813375,-40.56153184,-61.13041478,-41.95157542,3.818988628
90,5.500889607,45.63763272,-14.3071277,-38.52659087,-15.55773109,-26.05883632,-42.25760469,-67.34761969,-41.52317728,3.811348727
91,-7.657558648,24.19866561,-19.23120557,-29.15435949,1.674860494,-16.29664973,-22.7482088,-51.8435152,-25.24141413,0.897168395
92,-2.026998606,30.97886335,-1.893565805,-6.654816223,5.897025964,-14.26732773,-29.53127797,-30.06106849,-14.289555,13.88862183
93,-8.05234512,40.60413148,-10.61163055,-12.90892283,0.049799283,-13.65852746,1.275339171,-37.22646914,-7.942955602,17.69895985
94,-38.71372241,38.86044418,-19.14519365,-21.58978359,-28.78550654,-9.979901294,-0.953448271,-46.854154,-10.19163952,31.46350983
95,-47.31341044,16.85314128,-49.9300983,-30.93943336,-26.47154329,-9.430657423,14.55337108,-58.92760695,-13.17621665,38.50968592
96,-27.55120232,6.41588367,-47.11043211,-28.22635774,-44.15578167,2.506334172,-0.627790289,-54.11737361,-28.7805766,35.17576093
97,-19.69574205,-0.377998772,-12.7005385,-22.34606869,-56.76937097,4.780870166,5.000891625,-73.4755947,-26.94052501,57.68424924
98,-4.993627391,4.142373124,-36.59058317,-9.341947892,-89.14789324,-0.590097774,1.239479233,-42.94430191,-15.87952435,59.26343869
99,12.82011038,2.398734032,-55.71218121,-30.08761217,-84.24352743,3.055532459,-28.93580661,-29.75691559,-14.6597079,51.15552249
100,-1.690809396,10.1534338,-46.87326719,-55.96415327,-68.74486749,16.07536768,-36.68884587,-41.45856897,-29.14800732,43.88225061
101,-3.245229842,-8.819908536,-40.27322615,-62.09500977,-38.48344978,10.51854619,-32.20120887,-22.94894399,-18.1578575,41.13379563
102,-30.92838147,-24.50885629,-28.38793294,-73.04695647,-23.59431449,-9.52629473,-25.13693296,-35.53520831,-30.37370185,38.03529697
103,-32.92984138,-12.41743994,-51.500475,-63.56310386,-33.74757862,10.15727848,-15.23798004,-45.13260009,-12.86202054,28.72755845
104,-21.18908429,-2.91211701,-31.54564613,-52.73808063,-16.16970792,19.52530215,10.69082819,-53.11646217,9.055015546,16.19285526
105,-47.60826233,-14.91398311,-17.08758851,-41.75085375,-9.070161751,-4.672220671,3.13819108,-53.22359592,-3.663220239,21.50277509
106,-23.4738171,-4.58024371,-25.24928432,-30.63540335,-28.00149627,-36.21912877,29.36887968,-52.39206822,26.52064059,0.608623441
107,-29.95131685,-6.491640595,-24.16046869,-37.18175202,-41.40588536,-49.38446671,33.96291166,-59.4006639,44.38636685,27.28999061
108,-48.51013242,-14.20477426,-32.72806628,-54.96682493,-57.28414327,-36.21354562,30.15325335,-68.10362027,41.66258606,9.206157719
109,-41.0009002,-15.95429532,-47.13857189,-30.74176709,-39.5611562,-51.19186063,20.04419823,-50.88239206,68.1953514,-1.108213602
110,-76.15108104,-4.824745818,-37.98027265,-38.62951413,-40.87024849,-53.52751188,-7.078593197,-49.68256301,42.21733542,11.28095201
111,-61.31896736,-19.44321187,-58.32895827,-45.17491584,-22.2727823,-24.681962,-1.53359664,-41.89736522,49.82176383,11.58508599
112,-61.10771863,-27.35173407,-65.45775444,-56.63763679,-28.0840769,-1.196964616,-6.244175132,-12.95105183,68.62982755,23.59063188
113,-54.0742136,-31.23240865,-50.72764624,-19.6774227,-18.08421569,30.41431291,19.71705528,-29.9485356,68.83358948,31.31052086
114,-57.93816573,-0.960961155,-41.73219671,-18.8618463,-0.240934127,41.81577907,9.214902554,-24.89297494,80.81892639,36.21506378
115,-32.6551674,2.973928845,-75.27150338,-39.5629137,-32.24332563,58.49602825,3.745001677,-28.08393299,60.31871827,33.05027788
116,-32.9572455,-3.656002092,-48.47159027,-40.32138774,-38.59842751,26.29659841,16.25007912,-24.42985846,57.67828539,36.8658166
117,-29.52307339,0.279589803,-55.41304611,-45.54435377,-42.84300142,-8.054923738,19.57937052,-29.99283193,44.8516957,30.60504978
118,-21.48583773,-9.008046654,-63.71139538,-51.59010168,-31.98370014,-20.76937119,25.35075052,-34.2921189,28.17724911,23.25470219
119,-27.91749703,-17.08489718,-48.95899366,-28.08339392,-65.069344,-27.19006785,32.99275488,-44.28421491,24.08097001,17.93399703
120,-36.49051811,-17.98982485,-26.66278947,-30.01885402,-61.47754356,-28.92260026,57.41548748,-58.48208655,11.81749656,-5.27469531
121,-35.7339258,-18.97482279,-15.72792403,-21.33719256,-74.8105169,-25.09600092,21.68706926,-62.1863703,11.94839464,-10.71401541
122,-21.75656817,-16.47448162,-27.55572732,11.81374596,-58.467074,-25.85644146,41.85220299,-25.67292596,-4.5065843,-0.246309573
123,-8.778652491,-35.75755678,-36.81194247,8.145981347,-59.29802795,-12.86013419,66.24121324,-18.30781709,-15.08039229,-23.72288287
124,18.5084103,-20.36848939,-60.87981228,17.8407978,-71.0562258,1.005612932,55.86799333,-17.4793254,-37.32515961,-12.97314013
125,12.82884771,-36.77472888,-45.23576323,-2.078921827,-50.289335,-9.968758083,61.7017941,-30.55498607,-54.73443506,-6.587893661
126,11.45175311,-35.74508102,-17.91859129,17.77104632,-50.25770716,-6.08875004,28.25455563,-15.33678825,-57.47694223,2.584417474
127,17.99888787,-39.04358508,-21.58581091,25.82213887,-42.15980548,-24.81458469,27.52677144,2.155350499,-52.57961715,8.074672526
128,15.66213255,-33.60028536,-6.737362887,27.74151385,-51.70566105,-8.075220466,9.322105704,4.171459906,-40.45411349,-4.626350072
129,35.06858104,-37.15019534,31.64982255,28.85400341,-51.73213356,-13.64770832,6.45111854,8.072821922,-13.39593618,22.55792252
130,27.82920044,-41.61044261,-2.421365322,-9.327113424,-57.01848086,1.203006174,3.126831369,-1.233334352,-14.02044147,31.38660705
131,10.73083063,-28.81310129,4.283197195,-32.27806813,-34.24010444,17.59606047,-28.91294171,-17.40265078,-19.4921612,43.15201804
132,22.10062814,-50.19681291,-2.932348283,-27.52600621,-4.321160722,43.51512746,-16.43517482,-28.26069557,0.216834414,51.78721843
133,26.62712515,-71.67745684,-17.0290022,-20.75953976,-3.058300138,8.711884846,-15.64966671,-2.453733873,-10.50251934,21.60714455
134,9.668827681,-46.8501598,3.72507623,-34.89213488,2.617977837,15.51580649,-31.09098742,7.672832175,-6.454033954,12.62501888
135,-1.282982314,-52.20669263,-3.024306734,-39.93558504,-1.889292085,-1.327727091,-49.94987204,2.022722364,-11.68832002,26.70711104
136,12.71364987,-29.78020311,-34.52178262,-44.02264772,-16.03751648,-21.40823483,-52.28917679,-22.00412318,-8.235574543,29.3862684
137,12.78515565,-49.06466959,-12.41671463,-51.6070575,11.01507919,-12.61387507,-67.63902832,-26.37944498,-19.32208318,31.75174216
138,-13.16313857,-66.43663204,17.59469281,-61.10524829,3.520982121,-14.09809569,-65.91185236,-7.231018035,-30.21974391,22.66627895
139,-52.07534917,-68.8548816,-0.547382202,-46.69631204,16.69323418,-16.54371584,-74.44254702,-12.12822762,-38.42116617,7.447272893
140,-64.28985173,-63.63692512,7.325005611,-46.06094067,-12.91761985,-20.60356637,-72.43162275,-21.89364075,-55.14830107,15.40278358
141,-52.71928142,-58.12877603,7.547599964,-37.52068758,-30.2923468,4.106653779,-77.57427239,-29.49937311,-68.5435566,14.57862227
142,-41.09748982,-44.93354554,-2.911507611,-51.69488124,-73.51013678,10.67313206,-87.51804557,-13.92925938,-72.90285488,-7.312516056
143,-35.29562428,-48.92366713,-12.80503561,-56.12085253,-68.36043187,2.373223944,-86.36290427,4.731743264,-61.15004263,-16.51232179
144,-24.97753584,-44.40875392,19.85730223,-38.54175099,-78.46682354,-17.27976139,-63.91882842,1.39041061,-56.48049131,-28.82298422
145,-33.47560088,-13.8963172,-6.686058887,-49.95401184,-77.11299803,-24.51819768,-73.55097746,-17.84715767,-45.51452452,-44.84544668
146,-37.37093547,-14.44977444,4.23352591,-70.08791775,-62.68571565,-48.4341978,-87.83557364,-36.92197226,-45.75301243,-28.92470059
147,-68.46165098,-22.07373348,-39.3204383,-45.7874443,-56.79735739,-52.32671267,-93.70224077,-41.28634621,-44.84327026,-30.100496
148,-80.97639273,-21.7142559,-52.39022166,-23.07655072,-54.6555568,-38.70918683,-79.31290663,-58.76016344,-42.99300826,-35.58862388
149,-59.08650403,-3.532249111,-45.36846331,-17.45498386,-42.07793147,-53.96374676,-74.39949985,-72.86108027,-36.12793604,-49.00356031
150,-55.19138628,19.24554751,-48.71835297,1.332424474,-13.12292818,-59.8687497,-63.26117109,-64.401135,-32.82364145,-34.12993947
151,-42.58693355,18.46797959,-17.94936517,6.944165985,-23.54995854,-91.17513125,-38.10481141,-63.93936553,-42.06745848,-29.86365807
152,-59.25536945,33.05812023,-14.01668568,13.70092854,-51.1380217,-74.22855246,-28.25379156,-69.45244539,-34.39233389,-19.43061636
153,-72.08462199,14.92344604,-13.94326912,1.360412851,-61.213317,-91.2369932,-22.2986969,-66.95004953,-13.25026427,-10.02389557
154,-75.23312371,24.18723177,-28.62074676,-15.06014327,-68.3146496,-102.1732751,-24.82089375,-52.1655253,2.632336327,-10.68284972
155,-62.14234972,22.22301855,-37.3658987,-12.28704103,-83.75878797,-94.20777863,-35.85928242,-51.49503809,4.374669984,-12.16366319
156,-51.28290912,25.13850668,-51.10209463,-40.95368806,-74.42012433,-83.38477061,-48.32512125,-31.38464107,20.29621051,-22.82175794
157,-68.45087788,28.57335882,-23.31588906,-63.05352074,-77.90586134,-84.29585205,-39.59251212,-40.20174935,21.67030739,-21.41369043
158,-56.76379596,24.93136879,-22.06241952,-88.62912757,-47.29809506,-46.10540332,-5.204827198,-33.37351399,19.91035639,-15.5333314
159,-61.48664326,13.36314483,-9.259406986,-76.72459196,-51.59412478,-34.80239059,6.369894425,-47.88450975,4.672958671,1.537128954
160,-68.8550209,22.32345319,-14.51216497,-50.24091536,-36.20698328,-46.73744083,-1.396279746,-45.3094134,-20.02507579,25.29362754
161,-64.14933433,30.82057052,-17.43485897,-42.33474679,-57.76859405,-47.6190117,1.520178842,-34.11115345,-27.38129248,12.06041134
162,-74.46975828,14.5153709,-13.21082023,-33.12192174,-70.81631405,-49.78294699,-2.983843654,-32.47409156,8.313062225,4.177619566
163,-70.09928172,13.07071426,-18.0456111,7.31143577,-62.06015864,-32.58778186,-23.58299121,-18.59889492,3.169193115,-3.723481078
164,-61.41501963,-0.374501029,4.587495931,-5.29028082,-72.33259637,-22.86205898,-3.917845982,-8.528501632,-8.687961057,-23.12643463
165,-79.51926143,0.463966682,2.75355129,-15.08199614,-50.34711615,-2.129357027,-24.56596726,-6.79356628,-30.17421725,-53.23979461
166,-87.91811542,-17.0735157,-0.972539019,-16.32017528,-38.00607832,-11.33737846,-35.50126425,-19.71906792,-38.46585652,-43.70722941
167,-79.527479,-41.56923052,29.96232573,-1.367981106,-36.08669691,4.880796962,-18.55835872,-25.22990776,-33.28347667,-56.82323472
168,-65.75430397,-40.48855547,15.12391236,26.73488148,-39.77130766,3.474921649,-17.65229416,-11.86313089,-24.15822087,-59.01722004
169,-64.11336999,-45.14240654,15.88455843,14.72630492,-47.07863806,14.59331346,-12.98847808,-33.63694114,-31.56089229,-58.12925028
170,-62.6974752,-57.6494331,1.702809347,40.3126068,-70.74580995,1.567034592,-4.875834698,-31.80946299,-29.59433352,-35.79905794
171,-66.45847424,-46.95732784,12.30939876,41.8321534,-76.63683012,-5.239818669,1.733329181,-27.63521398,-44.16839421,-37.81486528
172,-46.22231829,-30.59342982,-3.3590243,39.58092354,-73.20706512,-4.91375822,-20.44573093,-33.80240763,-54.61300455,-28.72065253
173,-54.36610054,-47.02797126,-19.3867856,49.99572266,-73.12122437,-15.41100828,-26.07430976,-17.04648141,-33.932111,-9.89287975
174,-55.55797685,-65.98796904,-37.4300638,66.68501577,-66.01868748,-18.30808763,-31.51688037,-14.57212197,-29.31302599,13.05676519
175,-55.09598916,-77.9077826,-39.34559066,54.70265526,-80.73554103,-11.70670946,-40.65320464,-21.7640784,-36.80117376,31.58836264
176,-24.59662801,-75.86048963,-23.41978757,51.61258416,-77.43691004,-9.746724375,-66.58590821,-16.40871716,-6.105128125,27.4025842
177,-15.3131968,-66.18931506,-10.05117734,38.13879615,-85.6049549,-27.95745902,-54.0037245,-13.57058296,0.051950445,31.80936864
178,-38.33179139,-48.34738678,-8.277959179,11.35017105,-62.31583344,-21.74729756,-46.93956526,-19.53734397,1.635896767,26.33277477
179,-39.28344178,-59.38722581,-16.60773007,35.94085807,-46.82152142,-20.15518699,-40.6766204,-26.77437787,-3.191286212,26.22602045
180,-53.07620232,-68.05136611,-36.05697172,29.79120796,-50.23369437,-53.48762428,-12.97757985,-21.86208457,3.820907937,5.634922162
181,-44.20702641,-44.43607926,-51.77988302,27.86233083,-62.36480092,-50.96881528,-9.95889239,-13.80977687,4.878758616,3.716021421
182,-65.28190788,-59.34190014,-46.78106665,33.41139017,-57.89940953,-46.1990449,-17.66675106,-23.60029325,-9.492013853,12.57633904
183,-58.7912609,-42.98686518,-48.77765267,31.59432749,-47.81544189,-35.08332144,-30.33429344,-17.11172037,-11.86176345,1.052415712
184,-38.64795557,-9.897279513,-41.79234531,38.2588404,-63.51615674,-38.90498111,-2.973381309,0.810616301,1.478312012,0.128029008
185,-47.30926641,-19.41869575,-48.89273556,8.516793612,-45.60211102,-37.93036849,-26.29181548,-3.45583647,-13.15559271,21.03788173
186,-43.36304816,4.905062727,-41.746056,-7.481373402,-30.50423735,-48.8437466,-8.375402402,-9.905870348,-17.9278515,17.19461319
187,-45.89528922,22.25091322,-20.29009177,-38.40692433,-2.213374066,-45.13699018,-13.51150913,-28.64513894,-22.33699449,9.141487287
188,-22.9573064,11.05223496,-32.42403597,-20.55274071,-8.219069437,-36.14586214,-20.59992581,-34.89069279,-13.27217869,12.15561478
189,10.61044516,5.668092196,-38.67924689,-8.690132108,-0.075662086,-11.17782827,-18.00923492,-57.75695415,-22.35517416,26.36612328
190,-15.31476995,-15.47931122,-12.82386672,-16.96985538,1.198209347,-14.860239,-5.042229639,-62.38053215,-19.56203752,28.25545223
191,-2.947094983,-24.98398043,-27.54211932,-34.57410092,5.436635463,-2.766378159,0.625905743,-23.56837827,-35.67233606,5.174013755
192,-10.38508633,4.181598569,-28.11711153,-31.98600517,7.009936141,6.878146582,5.330173487,11.14576691,-39.24317995,19.97964808
193,-2.090325413,-34.15213619,-46.14154542,-34.98520425,12.69415687,14.07400246,6.075050024,6.304360723,-12.54541696,25.83007891
194,-7.936054273,-21.90191301,-34.63645236,-35.32150088,22.18927121,18.81790658,-1.435207112,-16.28458117,5.568945721,33.67439446
195,8.720898916,-14.72507154,-48.08238763,-37.64301782,28.20008618,-6.124802476,-0.484925177,-5.734709205,-38.41666838,33.89308021
196,3.394437589,-9.703086177,-43.54706193,-35.36103593,25.95036074,7.455089999,14.24344819,7.342984774,-31.63487437,56.36058865
197,24.25833016,-23.06543863,-57.38538707,-16.46355051,41.87550414,11.07817393,5.479111033,7.391289557,-5.118696125,63.11464854
198,30.92360237,-24.76028522,-51.5262087,-2.054655311,31.94270122,6.907042931,-2.183986227,-11.13621815,-1.675082179,29.18283629
199,34.98909863,-10.75517524,-62.25493329,-3.711959306,44.76939358,0.751496736,3.823845868,-5.187024099,1.505554547,12.73343392
200,27.29572436,0.274583231,-52.37252209,-17.34292803,28.04523617,-13.9767549,12.84582174,-31.38687348,9.957103173,14.07589409
