Year,Open,High,Low,Close,Day
2025.306849,64.39,67.3,64.8,66.9,1570
2025.30411,66.97,67.37,65.47,65.89,1569
2025.30137,66.97,67.37,65.47,65.89,1568
2025.29863,66.97,67.37,65.47,65.89,1567
2025.29589,66.97,67.37,65.47,65.89,1566
2025.293151,66.97,67.37,65.47,65.89,1565
2025.290411,66.97,67.37,65.47,65.89,1564
2025.287671,66.19,67.64,65.52,66.97,1563
2025.284932,66.51,67.95,65.75,66.19,1562
2025.282192,64.82,67.33,65.15,66.51,1561
2025.279452,62.12,65.33,61.78,64.82,1560
2025.276712,62.12,65.33,61.78,64.82,1559
2025.273973,62.12,65.33,61.78,64.82,1558
2025.271233,60.94,65.26,61.68,62.12,1557
2025.268493,62.06,61.67,60.07,60.94,1556
2025.265753,62.84,63.57,60.84,62.06,1555
2025.263014,63.82,65.24,60.26,62.84,1554
2025.260274,66.06,66.26,62.69,63.82,1553
2025.257534,66.06,66.26,62.69,63.82,1552
2025.254795,66.06,66.26,62.69,63.82,1551
2025.252055,68.55,67.48,65.63,66.06,1550
2025.249315,69.86,70.35,68.16,68.55,1549
2025.246575,68.8,69.18,67.08,67.98,1548
2025.243836,68.8,69.18,67.08,67.98,1547
2025.241096,68.54,69.38,67.95,68.8,1546
2025.238356,68.54,69.38,67.95,68.8,1545
2025.235616,68.54,69.38,67.95,68.8,1544
2025.232877,70.83,70.58,68.08,68.54,1543
2025.230137,70.46,71.8,69.88,70.83,1542
2025.227397,71.52,71.6,70.21,70.46,1541
2025.224658,71.45,71.94,70.75,71.52,1540
2025.221918,73.01,74.16,71.23,71.45,1539
2025.219178,73.01,74.16,71.23,71.45,1538
2025.216438,73.01,74.16,71.23,71.45,1537
2025.213699,73.44,74.19,72.8,73.01,1536
2025.210959,71.3,74.23,71.5,73.44,1535
2025.208219,70.11,71.75,69.82,71.3,1534
2025.205479,70.99,70.99,69.59,70.11,1533
2025.20274,70.6,71.75,69.37,70.99,1532
2025.2,70.6,71.75,69.37,70.99,1531
2025.19726,70.6,71.75,69.37,70.99,1530
2025.194521,69.62,71.82,68.54,70.6,1529
2025.191781,68.24,69.81,67.27,69.62,1528
2025.189041,69.01,69.71,67.42,68.24,1527
2025.186301,68.63,70.28,67.65,69.01,1526
2025.183562,67.32,69.45,66.78,68.63,1525
2025.180822,67.32,69.45,66.78,68.63,1524
2025.178082,67.32,69.45,66.78,68.63,1523
2025.175342,68.79,69.12,66.84,67.32,1522
2025.172603,68.5,69.55,68.07,68.79,1521
2025.169863,71.55,71.66,67.7,68.5,1520
2025.167123,71,72.87,71.28,71.55,1519
2025.164384,72.78,73.69,70.76,71,1518
2025.158904,72.78,73.69,70.76,71,1516
2025.156164,71.02,73.53,71,72.78,1515
2025.153425,71.75,72.58,70.69,71.02,1514
2025.150685,73.66,74,71.15,71.75,1513
2025.147945,73.9,74.99,72.16,73.66,1512
2025.145205,72.67,74.9,72.41,73.9,1511
2025.142466,72.67,74.9,72.41,73.9,1510
2025.139726,72.67,74.9,72.41,73.9,1509
2025.136986,75.74,76.26,73.53,74.02,1508
2025.134247,75.74,76.26,73.53,74.02,1507
2025.131507,77.21,77.4,74.63,75.74,1506
2025.128767,79.75,79.88,76.8,77.21,1505
2025.126027,78.05,79.93,77.25,79.75,1504
2025.123288,78.05,79.93,77.25,79.75,1503
2025.120548,78.05,79.93,77.25,79.75,1502
2025.117808,80.29,80.49,77.79,78.05,1501
2025.115068,82.59,82.12,80.05,80.29,1500
2025.112329,82.94,84.17,81.62,82.59,1499
2025.109589,82.28,84.25,82.7,82.94,1498
2025.106849,81.93,82.65,81.11,82.28,1497
2025.10411,81.93,82.65,81.11,82.28,1496
2025.10137,81.93,82.65,81.11,82.28,1495
2025.09863,81.12,83,80.94,81.93,1494
2025.09589,80.88,82.66,79.77,81.12,1493
2025.093151,80.96,81.9,79.48,80.88,1492
2025.090411,83.93,84.22,80.1,80.96,1491
2025.087671,82.66,84.44,82.67,83.93,1490
2025.084932,82.66,84.44,82.67,83.93,1489
2025.082192,82.66,84.44,82.67,83.93,1488
2025.079452,82.95,84.5,82.25,82.66,1487
2025.076712,80.26,83.8,80.8,82.95,1486
2025.073973,79.36,80.8,78.3,80.26,1485
2025.071233,81.67,81.58,79,79.36,1484
2025.068493,80.76,81.73,79.88,81.67,1483
2025.065753,80.76,81.73,79.88,81.67,1482
2025.063014,80.76,81.73,79.88,81.67,1481
2025.060274,78.94,82,78.98,80.76,1480
2025.057534,80.27,79.95,78.48,78.94,1479
2025.054795,79.99,80.42,77.9,80.27,1478
2025.052055,79.26,80.5,78.45,79.99,1477
2025.049315,78.33,80.5,77.8,79.26,1476
2025.046575,78.33,80.5,77.8,79.26,1475
2025.043836,78.33,80.5,77.8,79.26,1474
2025.041096,77.98,78.75,77.25,78.33,1473
2025.038356,76.96,78.95,77.2,77.98,1472
2025.035616,76.92,77.25,75.75,76.96,1471
2025.032877,74.85,77.23,75.4,76.92,1470
2025.030137,73.46,75.18,72.33,74.85,1469
2025.027397,73.46,75.18,72.33,74.85,1468
2025.024658,73.46,75.18,72.33,74.85,1467
2025.021918,72.17,73.71,71.55,73.46,1466
2025.019178,74.04,74.62,71.91,72.17,1465
2025.016438,74.36,74.92,72.91,74.04,1464
2025.013699,75.94,76.15,73.8,74.36,1463
2025.010959,75.19,76.35,74.86,75.94,1462
2025.008219,75.19,76.35,74.86,75.94,1461
2025.005479,75.19,76.35,74.86,75.94,1460
2025.00274,73,75.35,72,75.19,1459
2025,71.98,73.62,71.9,73,1458
2024.997268,71.98,73.62,71.9,73,1457
2024.994536,71.56,72.06,70.4,71.98,1456
2024.991803,69.47,71.8,69.61,71.56,1455
2024.989071,69.47,71.8,69.61,71.56,1454
2024.986339,69.47,71.8,69.61,71.56,1453
2024.983607,69.68,70.05,69.06,69.47,1452
2024.980874,69.68,70.05,69.06,69.47,1451
2024.978142,69.68,70.05,69.06,69.47,1450
2024.97541,68.2,70.15,67.36,69.68,1449
2024.972678,67.69,68.7,67.4,68.2,1448
2024.969945,67.69,68.7,67.4,68.2,1447
2024.967213,67.69,68.7,67.4,68.2,1446
2024.964481,64.86,68,64.78,67.69,1445
2024.961749,64.26,65.75,64.15,64.86,1444
2024.959016,65.27,65.85,64.05,64.26,1443
2024.956284,64.43,64.31,62.73,63.32,1442
2024.953552,66.1,66.61,64.15,64.43,1441
2024.95082,66.1,66.61,64.15,64.43,1440
2024.948087,66.1,66.61,64.15,64.43,1439
2024.945355,68.63,68.84,65.54,66.1,1438
2024.942623,68.18,69.58,67.91,68.63,1437
2024.939891,66.37,68.72,66.15,68.18,1436
2024.937158,68.31,68.7,65.93,66.37,1435
2024.934426,67.34,68.74,66.92,68.31,1434
2024.931694,67.34,68.74,66.92,68.31,1433
2024.928962,67.34,68.74,66.92,68.31,1432
2024.92623,67.86,68.69,66.91,67.34,1431
2024.923497,68.49,68.28,67.28,67.86,1430
2024.920765,68.83,69.25,67.85,68.49,1429
2024.918033,68.4,70.14,68.1,68.83,1428
2024.915301,67.63,68.54,67.13,68.4,1427
2024.912568,67.63,68.54,67.13,68.4,1426
2024.909836,67.63,68.54,67.13,68.4,1425
2024.907104,68.47,68.91,67.53,67.63,1424
2024.904372,69.23,69.38,67.7,68.47,1423
2024.901639,69.86,69.75,68.25,69.23,1422
2024.898907,69.27,71.54,69.24,69.86,1421
2024.896175,69.99,70.96,69.01,69.27,1420
2024.893443,69.99,70.96,69.01,69.27,1419
2024.89071,69.99,70.96,69.01,69.27,1418
2024.887978,68.38,70.78,68.45,69.99,1417
2024.885246,68.13,69.4,67.89,68.38,1416
2024.882514,69.51,69.83,67.84,68.13,1415
2024.879781,68.01,70.03,66.96,69.51,1414
2024.877049,68.27,68.8,66.75,68.01,1413
2024.874317,68.27,68.8,66.75,68.01,1412
2024.871585,68.27,68.8,66.75,68.01,1411
2024.868852,66.31,68.46,66.61,68.27,1410
2024.86612,67.53,67.24,65.39,66.31,1409
2024.863388,67.57,67.77,65.76,67.53,1408
2024.860656,68.02,68.8,66.92,67.57,1407
2024.857923,66.04,68.28,65.96,68.02,1406
2024.855191,66.04,68.28,65.96,68.02,1405
2024.852459,66.04,68.28,65.96,68.02,1404
2024.849727,63.76,66.29,63.65,66.04,1403
2024.846995,64.3,64.19,62.37,63.76,1402
2024.844262,65.22,65.69,64.1,64.3,1401
2024.84153,63.87,65.89,64,65.22,1400
2024.838798,64.58,64.96,63.22,63.87,1399
2024.836066,64.58,64.96,63.22,63.87,1398
2024.833333,64.58,64.96,63.22,63.87,1397
2024.830601,65.47,65.95,63.54,64.58,1396
2024.827869,67.28,67.19,64.94,65.47,1395
2024.825137,66.4,67.75,66.14,67.28,1394
2024.822404,66.97,66.61,64.61,66.4,1393
2024.819672,66.63,67.36,66.08,66.97,1392
2024.81694,66.63,67.36,66.08,66.97,1391
2024.814208,66.63,67.36,66.08,66.97,1390
2024.811475,64.89,67.57,64.75,66.63,1389
2024.808743,62.25,65.36,61.71,64.89,1388
2024.806011,61.76,62.56,61.29,62.25,1387
2024.803279,62.28,62.95,61.36,61.76,1386
2024.800546,62.98,63.47,62.22,62.28,1385
2024.797814,62.98,63.47,62.22,62.28,1384
2024.795082,62.98,63.47,62.22,62.28,1383
2024.79235,63.03,63.64,62.63,62.98,1382
2024.789617,65.09,65.63,62.8,63.03,1381
2024.786885,65.97,65.59,64.17,65.09,1380
2024.784153,64.62,66.18,63.85,65.97,1379
2024.781421,65,65.09,63.75,64.62,1378
2024.778689,65,65.09,63.75,64.62,1377
2024.775956,65,65.09,63.75,64.62,1376
2024.773224,62.01,65.21,62.04,65,1375
2024.770492,60.29,62.71,59.95,62.01,1374
2024.76776,61.76,61.92,60.07,60.29,1373
2024.765027,62.05,62.5,60.06,61.76,1372
2024.762295,62.76,62.57,61.41,62.05,1371
2024.759563,62.76,62.57,61.41,62.05,1370
2024.756831,62.76,62.57,61.41,62.05,1369
2024.754098,62.6,62.96,62.01,62.76,1368
2024.751366,63.61,65.04,62.54,62.6,1367
2024.748634,65.56,65.23,62.75,63.61,1366
2024.745902,66.33,66.97,65.13,65.56,1365
2024.743169,66.52,66.46,65.28,66.33,1364
2024.740437,66.52,66.46,65.28,66.33,1363
2024.737705,66.52,66.46,65.28,66.33,1362
2024.734973,65.24,66.75,64.34,66.52,1361
2024.73224,63.87,65.59,63.65,65.24,1360
2024.729508,64.1,64.93,63.53,63.87,1359
2024.726776,63.39,64.72,63.34,64.1,1358
2024.724044,62.82,64.15,62.88,63.39,1357
2024.721311,62.82,64.15,62.88,63.39,1356
2024.718579,62.82,64.15,62.88,63.39,1355
2024.715847,63.7,65.42,62.39,62.82,1354
2024.713115,64.34,64.88,63.21,63.7,1353
2024.710383,63.21,65.16,62.45,64.34,1352
2024.70765,64.99,64.97,63.15,63.21,1351
2024.704918,65.45,65.94,64.6,64.99,1350
2024.702186,65.45,65.94,64.6,64.99,1349
2024.699454,65.45,65.94,64.6,64.99,1348
2024.696721,66.4,66.43,65.11,65.45,1347
2024.693989,64.92,66.53,64.71,66.4,1346
2024.691257,66.52,67.18,64.76,64.92,1345
2024.688525,66.2,67.74,66.04,66.5,1344
2024.685792,66.2,67.74,66.04,66.5,1343
2024.68306,66.2,67.74,66.04,66.5,1342
2024.680328,66.2,67.74,66.04,66.5,1341
2024.677596,67,67.68,65.95,66.2,1340
2024.674863,68.16,68.47,66.75,67,1339
2024.672131,70.43,70.44,68.1,68.16,1338
2024.669399,70.3,70.99,69.56,70.43,1337
2024.666667,71.06,71.45,69.96,70.3,1336
2024.663934,71.06,71.45,69.96,70.3,1335
2024.661202,71.06,71.45,69.96,70.3,1334
2024.65847,70.77,71.23,70.08,71.06,1333
2024.655738,71.49,72.21,70.35,70.77,1332
2024.653005,70.49,71.93,70.24,71.49,1331
2024.650273,71.13,71.75,70.07,70.49,1330
2024.647541,71.57,72.37,70.62,71.13,1329
2024.644809,71.57,72.37,70.62,71.13,1328
2024.642077,71.57,72.37,70.62,71.13,1327
2024.639344,72.14,72.64,71.17,71.57,1326
2024.636612,73.07,73.83,71.68,72.14,1325
2024.63388,73.14,74.75,72.65,73.07,1324
2024.631148,72.52,73.75,72.04,73.14,1323
2024.628415,72.11,72.98,71.5,72.52,1322
2024.625683,72.11,72.98,71.5,72.52,1321
2024.622951,72.11,72.94,71.5,72.52,1320
2024.620219,71.87,72.23,70.52,72.11,1319
2024.617486,71.29,72.44,71.26,71.87,1318
2024.614754,72.65,73.06,71.14,71.29,1317
2024.612022,69.84,74.12,69.51,72.86,1316
2024.60929,70.83,71.83,69.64,69.84,1315
2024.606557,70.83,71.83,69.64,69.84,1314
2024.603825,70.83,71.83,69.64,69.84,1313
2024.601093,70.81,71.73,69.72,70.83,1312
2024.598361,69.92,71.43,69.1,70.81,1311
2024.595628,68.86,70.39,69.07,69.92,1310
2024.592896,70.44,69.75,67.86,68.86,1309
2024.590164,71.17,71.31,69.45,70.44,1308
2024.587432,71.17,71.31,69.45,70.44,1307
2024.584699,71.17,71.31,69.45,70.44,1306
2024.581967,69.24,71.5,68.83,71.17,1305
2024.579235,68.58,69.44,68.04,69.24,1304
2024.576503,68.78,69.29,67.47,68.58,1303
2024.57377,67.71,68.9,67.2,68.78,1302
2024.571038,67.08,68.15,66.79,67.71,1301
2024.568306,67.08,68.15,66.79,67.71,1300
2024.565574,67.08,68.15,66.79,67.71,1299
2024.562842,68.9,68.91,66.65,67.08,1298
2024.560109,65.79,69.02,65.55,68.9,1297
2024.557377,64.79,66.22,64.26,65.79,1296
2024.554645,66,66.73,64.25,64.79,1295
2024.551913,66.11,67.49,65.73,66,1294
2024.54918,66.11,67.49,65.73,66,1293
2024.546448,66.11,67.49,65.73,66,1292
2024.543716,66.42,66.98,66.01,66.11,1291
2024.540984,67.94,68.13,66.41,66.42,1290
2024.538251,67.58,68.27,67.16,67.94,1289
2024.535519,69.35,69.58,67.1,67.58,1288
2024.532787,68.52,69.52,67.69,69.35,1287
2024.530055,68.52,69.52,67.69,69.35,1286
2024.527322,68.52,69.52,67.69,69.35,1285
2024.52459,67.96,68.83,67.6,68.52,1284
2024.521858,68.52,69.4,67.86,67.96,1283
2024.519126,69.04,69.19,68.18,68.52,1282
2024.516393,70.35,71.85,68.8,69.04,1281
2024.513661,70.18,71.15,69.94,70.35,1280
2024.510929,70.18,71.15,69.94,70.35,1279
2024.508197,70.18,71.15,69.94,70.35,1278
2024.505464,70.91,71.16,69.83,70.18,1277
2024.502732,70.93,71.95,70,70.91,1276
2024.5,68.33,71.03,67.52,70.93,1275
2024.497268,67.36,69.68,67.13,68.33,1274
2024.494536,66.49,68.4,65.79,67.36,1273
2024.491803,66.49,68.4,65.79,67.36,1272
2024.489071,66.49,68.4,65.79,67.36,1271
2024.486339,67.23,67.78,66.42,66.49,1270
2024.483607,67.8,69.09,66.8,67.23,1269
2024.480874,67.56,68.07,66.85,67.8,1268
2024.478142,68.05,68.27,67.01,67.56,1267
2024.47541,69.19,69.51,67.94,68.05,1266
2024.472678,69.19,69.51,67.94,68.05,1265
2024.469945,69.19,69.51,67.94,68.05,1264
2024.467213,70.74,71.59,69.07,69.19,1263
2024.464481,68.38,70.81,68.5,70.74,1262
2024.461749,68.16,69.25,67.72,68.38,1261
2024.459016,68.53,69.21,67.63,68.16,1260
2024.456284,70.87,71.09,68.18,68.53,1259
2024.453552,70.87,71.09,68.18,68.53,1258
2024.45082,70.87,71.09,68.18,68.53,1257
2024.448087,70.3,71.99,70.3,70.87,1256
2024.445355,70.41,71.75,69.97,70.3,1255
2024.442623,70.91,72.17,69.87,70.41,1254
2024.439891,71.42,71.2,69.29,70.91,1253
2024.437158,71.53,71.88,71.02,71.42,1252
2024.434426,71.53,71.88,71.02,71.42,1251
2024.431694,71.53,71.88,71.02,71.42,1250
2024.428962,72,72.98,71.25,71.53,1249
